FACTURA
column_name	data_type	character_maximum_length	is_nullable
TIPO_DOCUMENTO	varchar	1	NO
FACTURA	varchar	50	NO
AUDIT_TRANS_INV	int	NULL	YES
ESTA_DESPACHADO	varchar	1	NO
EN_INVESTIGACION	varchar	1	NO
TRANS_ADICIONALES	varchar	1	NO
ESTADO_REMISION	varchar	1	NO
ASIENTO_DOCUMENTO	varchar	10	YES
DESCUENTO_VOLUMEN	decimal	NULL	NO
MONEDA_FACTURA	varchar	1	NO
COMENTARIO_CXC	varchar	249	YES
FECHA_DESPACHO	datetime	NULL	NO
CLASE_DOCUMENTO	varchar	1	NO
FECHA_RECIBIDO	datetime	NULL	NO
PEDIDO	varchar	50	YES
FACTURA_ORIGINAL	varchar	50	YES
TIPO_ORIGINAL	varchar	1	YES
COMISION_COBRADOR	decimal	NULL	NO
TARJETA_CREDITO	varchar	20	YES
TOTAL_VOLUMEN	decimal	NULL	NO
NUMERO_AUTORIZA	varchar	10	YES
TOTAL_PESO	decimal	NULL	NO
MONTO_COBRADO	decimal	NULL	NO
TOTAL_IMPUESTO1	decimal	NULL	NO
FECHA	datetime	NULL	NO
FECHA_ENTREGA	datetime	NULL	NO
TOTAL_IMPUESTO2	decimal	NULL	NO
PORC_DESCUENTO2	decimal	NULL	NO
MONTO_FLETE	decimal	NULL	NO
MONTO_SEGURO	decimal	NULL	NO
MONTO_DOCUMENTACIO	decimal	NULL	NO
TIPO_DESCUENTO1	varchar	1	NO
TIPO_DESCUENTO2	varchar	1	NO
MONTO_DESCUENTO1	decimal	NULL	NO
MONTO_DESCUENTO2	decimal	NULL	NO
PORC_DESCUENTO1	decimal	NULL	NO
TOTAL_FACTURA	decimal	NULL	NO
FECHA_PEDIDO	datetime	NULL	NO
FECHA_HORA_ANULA	datetime	NULL	YES
FECHA_ORDEN	datetime	NULL	YES
TOTAL_MERCADERIA	decimal	NULL	NO
COMISION_VENDEDOR	decimal	NULL	NO
ORDEN_COMPRA	varchar	30	YES
FECHA_HORA	datetime	NULL	NO
TOTAL_UNIDADES	decimal	NULL	NO
NUMERO_PAGINAS	smallint	NULL	NO
TIPO_CAMBIO	decimal	NULL	NO
ANULADA	varchar	1	NO
MODULO	varchar	4	NO
CARGADO_CG	varchar	1	NO
CARGADO_CXC	varchar	1	NO
EMBARCAR_A	varchar	160	YES
DIREC_EMBARQUE	varchar	8	YES
DIRECCION_FACTURA	varchar	4000	YES
MULTIPLICADOR_EV	smallint	NULL	NO
OBSERVACIONES	text	2147483647	YES
RUBRO1	varchar	50	YES
RUBRO2	varchar	50	YES
RUBRO3	varchar	50	YES
RUBRO4	varchar	50	YES
RUBRO5	varchar	50	YES
VERSION_NP	int	NULL	NO
MONEDA	varchar	1	NO
NIVEL_PRECIO	varchar	12	NO
COBRADOR	varchar	4	NO
RUTA	varchar	4	NO
USUARIO	varchar	50	NO
USUARIO_ANULA	varchar	50	YES
CONDICION_PAGO	varchar	4	NO
ZONA	varchar	4	NO
VENDEDOR	varchar	4	NO
DOC_CREDITO_CXC	varchar	20	YES
CLIENTE_DIRECCION	varchar	20	NO
CLIENTE_CORPORAC	varchar	20	NO
CLIENTE_ORIGEN	varchar	20	NO
CLIENTE	varchar	20	NO
PAIS	varchar	4	NO
SUBTIPO_DOC_CXC	smallint	NULL	YES
TIPO_CREDITO_CXC	varchar	3	YES
TIPO_DOC_CXC	varchar	3	YES
MONTO_ANTICIPO	decimal	NULL	YES
TOTAL_PESO_NETO	decimal	NULL	YES
FECHA_RIGE	datetime	NULL	NO
CONTRATO	varchar	20	YES
PORC_INTCTE	decimal	NULL	YES
USA_DESPACHOS	varchar	1	NO
COBRADA	varchar	1	NO
DESCUENTO_CASCADA	varchar	1	NO
NoteExistsFlag	tinyint	NULL	YES
RecordDate	datetime	NULL	YES
RowPointer	uniqueidentifier	NULL	YES
CreatedBy	varchar	50	NO
UpdatedBy	varchar	50	NO
CreateDate	datetime	NULL	YES
DIRECCION_EMBARQUE	varchar	250	YES
CONSECUTIVO	varchar	10	YES
REIMPRESO	int	NULL	NO
DIVISION_GEOGRAFICA1	varchar	12	YES
DIVISION_GEOGRAFICA2	varchar	12	YES
BASE_IMPUESTO1	decimal	NULL	YES
BASE_IMPUESTO2	decimal	NULL	YES
NOMBRE_CLIENTE	varchar	150	YES
DOC_FISCAL	varchar	50	YES
NOMBREMAQUINA	varchar	20	YES
SERIE_RESOLUCION	varchar	20	YES
CONSEC_RESOLUCION	int	NULL	YES
GENERA_DOC_FE	varchar	1	NO
TASA_IMPOSITIVA	varchar	4	YES
TASA_IMPOSITIVA_PORC	decimal	NULL	YES
TASA_CREE1	varchar	4	YES
TASA_CREE1_PORC	decimal	NULL	YES
TASA_CREE2	varchar	4	YES
TASA_CREE2_PORC	decimal	NULL	YES
TASA_GAN_OCASIONAL_PORC	decimal	NULL	YES
CONTRATO_AC	varchar	10	YES
AJUSTE_REDONDEO	decimal	NULL	YES
USO_CFDI	varchar	3	YES
FORMA_PAGO	varchar	4	YES
CLAVE_REFERENCIA_DE	varchar	50	YES
FECHA_REFERENCIA_DE	datetime	NULL	YES
JUSTI_DEV_HACIEND	varchar	2	YES
TIPO_OPERACION	varchar	4	YES
INCOTERMS	varchar	3	YES
U_AD_WM_NUMERO_VENDEDOR	varchar	9	YES
U_AD_WM_ENVIAR_GLN	varchar	13	YES
U_AD_WM_NUMERO_RECEPCION	varchar	8	YES
U_AD_WM_NUMERO_RECLAMO	varchar	10	YES
U_AD_WM_FECHA_RECLAMO	varchar	8	YES
U_AD_PC_NUMERO_VENDEDOR	varchar	12	YES
U_AD_PC_ENVIAR_GLN	varchar	13	YES
U_AD_GS_NUMERO_VENDEDOR	varchar	12	YES
U_AD_GS_ENVIAR_GLN	varchar	13	YES
U_AD_GS_NUMERO_RECEPCION	varchar	8	YES
U_AD_GS_FECHA_RECEPCION	varchar	8	YES
U_AD_AM_NUMERO_PROVEEDOR	varchar	12	YES
U_AD_AM_ENVIAR_GLN	varchar	13	YES
U_AD_AM_NUMERO_RECEPCION	varchar	8	YES
U_AD_AM_NUMERO_RECLAMO	varchar	10	YES
U_AD_AM_FECHA_RECLAMO	varchar	8	YES
U_AD_AM_FECHA_RECEPCION	varchar	8	YES
U_AD_CC_REMISION	varchar	8	YES
U_AD_CC_FECHA_CONSUMO	date	NULL	YES
U_AD_CC_HOJA_ENTRADA	varchar	8	YES
CLAVE_DE	varchar	50	YES
ACTIVIDAD_COMERCIAL	varchar	10	YES
MONTO_OTRO_CARGO	decimal	NULL	YES
MONTO_TOTAL_IVA_DEVUELTO	decimal	NULL	YES
CODIGO_REFERENCIA_DE	varchar	2	YES
TIPO_REFERENCIA_DE	varchar	4	YES
PREFIJO	varchar	25	YES
FECHA_INICIO_RESOLUCION	datetime	NULL	YES
FECHA_FINAL_RESOLUCION	datetime	NULL	YES
CLAVE_TECNICA	varchar	80	YES
MATRICULA_MERCANTIL	int	NULL	YES
ES_FACTURA_REEMPLAZO	varchar	1	YES
FACTURA_ORIGINAL_REEMPLAZO	varchar	50	YES
CONSECUTIVO_FTC	varchar	10	YES
NUMERO_FTC	varchar	50	YES
NIT_TRANSPORTADOR	varchar	20	YES
NUM_OC_EXENTA	varchar	100	YES
NUM_CONS_REG_EXO	varchar	100	YES
NUM_IRSEDE_AGR_GAN	varchar	100	YES
U_AD_WM_TIPO_NC	varchar	30	YES
CANCELACION	varchar	2	YES
ESTADO_CANCELACION	varchar	20	YES
TIENE_RELACIONADOS	varchar	1	YES
NCF_MODIFICADO	varchar	50	YES
CUENTA_ASIENTO	varchar	1	YES
TIPO_PAGO	varchar	10	YES
TIPO_DESCUENTO_GLOBAL	varchar	2	YES
TIPO_FACTURA	varchar	10	YES
TIPO_NC	varchar	2	YES
TIPO_DETRAC	varchar	4	YES
ACT_DETRAC	varchar	4	YES
PORC_DETRAC	decimal	NULL	YES
U_CODEBAR	varchar	13	YES
GUUID_ORIGINAL	varchar	40	YES
TIENE_COMPLEMENTO	varchar	1	YES
GENERAR_CFDI_TRASLADO	varchar	1	YES
U_CLIENTE_P	varchar	20	YES
U_ARTICULO_P	varchar	20	YES
U_OPCION_P	varchar	20	YES
U_CODE_LOAD	varchar	24	YES
U_ESTADO_PROCESO	varchar	4	YES



FACTURA_LINEA 
column_name	data_type	character_maximum_length	is_nullable
FACTURA	varchar	50	NO
TIPO_DOCUMENTO	varchar	1	NO
LINEA	smallint	NULL	NO
BODEGA	varchar	4	NO
COSTO_TOTAL_DOLAR	decimal	NULL	NO
PEDIDO	varchar	50	YES
ARTICULO	varchar	20	NO
LOCALIZACION	varchar	8	YES
LOTE	varchar	15	YES
ANULADA	varchar	1	NO
FECHA_FACTURA	datetime	NULL	NO
CANTIDAD	decimal	NULL	NO
PRECIO_UNITARIO	decimal	NULL	NO
TOTAL_IMPUESTO1	decimal	NULL	NO
TOTAL_IMPUESTO2	decimal	NULL	NO
DESC_TOT_LINEA	decimal	NULL	NO
DESC_TOT_GENERAL	decimal	NULL	NO
COSTO_TOTAL	decimal	NULL	NO
PRECIO_TOTAL	decimal	NULL	NO
DESCRIPCION	text	2147483647	YES
COMENTARIO	varchar	100	YES
CANTIDAD_DEVUELT	decimal	NULL	NO
DESCUENTO_VOLUMEN	decimal	NULL	NO
TIPO_LINEA	varchar	1	NO
CANTIDAD_ACEPTADA	decimal	NULL	NO
CANT_NO_ENTREGADA	decimal	NULL	NO
COSTO_TOTAL_LOCAL	decimal	NULL	NO
PEDIDO_LINEA	smallint	NULL	YES
MULTIPLICADOR_EV	smallint	NULL	NO
SERIE_CADENA	int	NULL	YES
SERIE_CAD_NO_ACEPT	int	NULL	YES
SERIE_CAD_ACEPTADA	int	NULL	YES
DOCUMENTO_ORIGEN	varchar	50	YES
LINEA_ORIGEN	smallint	NULL	YES
TIPO_ORIGEN	varchar	1	YES
UNIDAD_DISTRIBUCIO	varchar	6	YES
CANT_DESPACHADA	decimal	NULL	NO
COSTO_ESTIM_LOCAL	decimal	NULL	NO
COSTO_ESTIM_DOLAR	decimal	NULL	NO
CANT_ANUL_PORDESPA	decimal	NULL	YES
MONTO_RETENCION	decimal	NULL	NO
NoteExistsFlag	tinyint	NULL	YES
RecordDate	datetime	NULL	YES
RowPointer	uniqueidentifier	NULL	YES
CreatedBy	varchar	50	NO
UpdatedBy	varchar	50	NO
CreateDate	datetime	NULL	YES
BASE_IMPUESTO1	decimal	NULL	YES
BASE_IMPUESTO2	decimal	NULL	YES
PROYECTO	varchar	25	YES
FASE	varchar	25	YES
CENTRO_COSTO	varchar	25	YES
CUENTA_CONTABLE	varchar	25	YES
COSTO_TOTAL_COMP	decimal	NULL	NO
COSTO_TOTAL_COMP_LOCAL	decimal	NULL	NO
COSTO_TOTAL_COMP_DOLAR	decimal	NULL	NO
COSTO_ESTIM_COMP_LOCAL	decimal	NULL	NO
COSTO_ESTIM_COMP_DOLAR	decimal	NULL	NO
CANT_DEV_PROCESO	decimal	NULL	NO
TIPO_IMPUESTO1	varchar	4	YES
TIPO_TARIFA1	varchar	2	YES
TIPO_IMPUESTO2	varchar	4	YES
TIPO_TARIFA2	varchar	2	YES
